A	B	C	D	E	F	G	H	I	J	K
1e-07	1e-07	1e-07	1e-07	1e-07	1	0.5	1e-07	1e-07	1e-07	1e-07
1e-07	1e-07	1e-07	1e-07	1e-07	0.5	1	1e-07	1e-07	1e-07	1e-07
1e-07	1e-07	1e-07	1e-07	1e-07	1e-07	1e-07	1	1e-07	1e-07	1e-07
0.5	0.25	1e-07	1e-07	1e-07	1e-07	1e-07	1e-07	1	0.5	1e-07
0.25	0.125	1e-07	1e-07	1e-07	1e-07	1e-07	1e-07	0.5	1	1e-07
1e-07	1e-07	1e-07	1e-07	1e-07	1e-07	1e-07	1e-07	1e-07	1e-07	1
 	 	 	 	 	 	 	 	 	 	 
A	B	C	D	E	F	G	H	I	J	K
1	0.5	1e-07	1e-07	1e-07	1e-07	1e-07	1e-07	0.5	0.25	1e-07
0.5	1	1e-07	1e-07	1e-07	1e-07	1e-07	1e-07	0.25	0.125	1e-07
1e-07	1e-07	1	1e-07	1e-07	1e-07	1e-07	1e-07	1e-07	1e-07	1e-07
1e-07	1e-07	1e-07	1	0.5	1e-07	1e-07	1e-07	1e-07	1e-07	1e-07
1e-07	1e-07	1e-07	0.5	1	1e-07	1e-07	1e-07	1e-07	1e-07	1e-07
1e-07	1e-07	1e-07	1e-07	1e-07	1	0.5	1e-07	1e-07	1e-07	1e-07
1e-07	1e-07	1e-07	1e-07	1e-07	0.5	1	1e-07	1e-07	1e-07	1e-07
1e-07	1e-07	1e-07	1e-07	1e-07	1e-07	1e-07	1	1e-07	1e-07	1e-07
0.5	0.25	1e-07	1e-07	1e-07	1e-07	1e-07	1e-07	1	0.5	1e-07
0.25	0.125	1e-07	1e-07	1e-07	1e-07	1e-07	1e-07	0.5	1	1e-07
1e-07	1e-07	1e-07	1e-07	1e-07	1e-07	1e-07	1e-07	1e-07	1e-07	1
 	 	 	 	 	 	 	 	 	 	 
A	B	C	D	E	F	G	H	I	J	K
1	0.5	1e-07	1e-07	1e-07	1e-07	1e-07	0.5	0.5	0.25	1e-07
0.5	1	1e-07	1e-07	1e-07	1e-07	1e-07	0.25	0.25	0.125	1e-07
1e-07	1e-07	1e-07	1e-07	1e-07	1e-07	1e-07	1e-07	1e-07	1e-07	1e-07
1e-07	1e-07	1e-07	1	0.5	1e-07	1e-07	1e-07	1e-07	1e-07	1e-07
1e-07	1e-07	1e-07	0.5	1	1e-07	1e-07	1e-07	1e-07	1e-07	1e-07
1e-07	1e-07	1e-07	1e-07	1e-07	1	0.5	1e-07	1e-07	1e-07	1e-07
1e-07	1e-07	1e-07	1e-07	1e-07	0.5	1	1e-07	1e-07	1e-07	1e-07
0.5	0.25	1e-07	1e-07	1e-07	1e-07	1e-07	1	0.25	0.125	1e-07
0.5	0.25	1e-07	1e-07	1e-07	1e-07	1e-07	0.25	1	0.5	1e-07
0.25	0.125	1e-07	1e-07	1e-07	1e-07	1e-07	0.125	0.5	1	1e-07
1e-07	1e-07	1e-07	1e-07	1e-07	1e-07	1e-07	1e-07	1e-07	1e-07	1
 	 	 	 	 	 	 	 	 	 	 	 
END	 	 	 	 	 	 	 	 	 	 
